		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24414.046875	M = 12500000	N = 8	m = 9	n = 100000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 24013 24005 23902 24068 23992 24077 23859 23963 64.115354 0.000000 FAILURE   0
000000011 24341 24431 24564 24549 24159 24253 24342 24098 10.268966 0.246653 SUCCESS   1
000000101 24260 23933 23984 23911 24206 24083 24048 24271 42.386249 0.000001 FAILURE   2
000000111 24382 24259 24451 24615 24585 24566 24429 24405  5.060042 0.751140 SUCCESS   3
000001001 24149 24204 24491 24509 24399 24122 24056 24261 15.525115 0.049704 SUCCESS   4
000001011 24494 23947 24096 24010 24172 24253 24330 24538 25.245644 0.001412 FAILURE   5
000001101 24300 24287 24529 24412 24092 24283 24415 24214  8.612014 0.376075 SUCCESS   6
000001111 24371 24452 24501 24415 24537 24355 24181 24078  8.333429 0.401596 SUCCESS   7
000010001 24622 24426 24166 24494 24392 24514 24401 24275  5.985911 0.648810 SUCCESS   8
000010011 24548 24509 24509 24764 24658 24739 24462 24551 14.599827 0.067410 SUCCESS   9
000010101 24476 24236 24247 24437 24374 24413 24448 24533  3.426530 0.904816 SUCCESS  10
000010111 24464 24086 24575 24473 24153 24490 24573 24586 11.364436 0.181892 SUCCESS  11
000011001 24572 24414 24662 24657 24527 24342 24669 24680 12.673470 0.123589 SUCCESS  12
000011011 24684 24387 24586 24310 24476 24584 24302 24267  7.664112 0.466949 SUCCESS  13
000011101 24704 24563 24174 24527 24339 24773 24566 24580 15.326170 0.053105 SUCCESS  14
000011111 24158 24277 24336 24251 24176 24291 24203 24163 12.557052 0.128026 SUCCESS  15
000100011 24453 24283 24324 24586 24506 24678 24385 24329  6.040233 0.642725 SUCCESS  16
000100101 24147 24392 24286 24244 24205 23998 23889 24274 26.656920 0.000810 FAILURE  17
000100111 24470 24624 24646 24667 24413 24467 24239 24600  9.872447 0.274093 SUCCESS  18
000101001 24350 24353 24412 24291 24442 24325 24315 24425  1.763066 0.987434 SUCCESS  19
000101011 24348 24464 24325 24352 24410 24357 24511 24537  1.966865 0.982011 SUCCESS  20
000101101 24171 24115 24056 24129 24252 24070 24376 24380 21.402995 0.006151 FAILURE  21
000101111 24253 24232 24340 24357 24340 24512 24386 24647  5.844317 0.664666 SUCCESS  22
000110011 24608 24581 24581 24653 24854 24283 24845 24787 29.063975 0.000309 FAILURE  23
000110101 24208 24175 24387 24425 24346 24430 24275 24194  7.333243 0.501142 SUCCESS  24
000110111 24612 24474 24640 24592 24265 24636 24214 24543 10.745373 0.216548 SUCCESS  25
000111001 24421 24660 24634 24916 24940 24920 24663 24566 41.458376 0.000002 FAILURE  26
000111011 24865 24545 24209 24746 24354 24532 24485 24285 17.452988 0.025723 SUCCESS  27
000111101 24725 24458 24539 24666 24829 24507 24565 24691 19.405377 0.012836 SUCCESS  28
000111111 24244 24462 24242 24280 24189 24176 24053 24305 13.910795 0.084120 SUCCESS  29
001000011 24514 24488 24078 24306 24364 24427 24288 24516  7.160653 0.519403 SUCCESS  30
001000101 24504 24539 24459 24389 24701 24727 24591 24519 10.547713 0.228666 SUCCESS  31
001000111 24459 24641 24557 24586 24594 24530 24433 24397  6.355432 0.607484 SUCCESS  32
001001011 24136 24402 24267 24405 24571 24163 24283 24222 10.205035 0.250929 SUCCESS  33
001001101 24325 24264 24392 24438 24576 24662 24616 24525  7.300142 0.504623 SUCCESS  34
001001111 24446 24713 24597 24728 24214 24399 24268 24390 12.056950 0.148681 SUCCESS  35
001010011 24834 24648 24757 24396 24546 24521 24571 24411 17.053930 0.029552 SUCCESS  36
001010101 24300 24292 24306 24138 24266 24492 24297 24650  9.030317 0.339745 SUCCESS  37
001010111 24374 24602 24376 24385 24480 24384 24561 24386  2.832464 0.944427 SUCCESS  38
001011011 24055 24266 24015 24047 24505 24256 24433 24579 21.421217 0.006109 FAILURE  39
001011101 24670 24248 24473 24402 24413 24410 24473 24533  4.844504 0.774059 SUCCESS  40
001011111 24129 24212 24376 24171 24204 24291 24243 24524 11.998292 0.151280 SUCCESS  41
001100101 24638 24344 24342 24492 24503 24633 24164 24683 10.889996 0.208010 SUCCESS  42
001100111 24562 24679 24587 24675 24583 24326 24725 24477 13.856114 0.085594 SUCCESS  43
001101011 24112 24216 24393 24426 24352 24231 24395 23949 16.312372 0.038121 SUCCESS  44
001101101 24385 24538 24509 24489 24346 24492 24198 24299  4.298580 0.829230 SUCCESS  45
